GO_id,term,namespace,n_annotated,n_background,mean_c_ann,mean_c_all,rank_biserial,U_stat,p_two,direction,p_fdr,neg_log10_fdr,neg_log10_p
GO:0043632,modification-dependent macromolecule catabolic process,biological_process,199,6011,0.8159090469849246,0.7630574372600233,0.16971125413716903,676437.0,4.5605395188701284e-05,high_c,0.0006233934334455546,3.2052377767036777,4.340983776588194
GO:0031106,septin ring organization,biological_process,36,6011,0.8712093949999999,0.7630574372600233,0.39165504416550445,149672.5,4.9578234256546593e-05,high_c,0.0006724048021044132,3.1723691936263783,4.304708944818983
GO:0006338,chromatin remodeling,biological_process,287,6011,0.8075824121602788,0.7630574372600233,0.14117768086935145,937356.5,5.2976692354163126e-05,high_c,0.0007129266505955595,3.1469551502045934,4.275915160745818
GO:0010498,proteasomal protein catabolic process,biological_process,185,6011,0.8143434594054054,0.7630574372600233,0.1735760477264081,632446.0,5.687703007735318e-05,high_c,0.0007595271093406548,3.1194567205149,4.245063089048537
GO:0140694,membraneless organelle assembly,biological_process,83,6011,0.8323263520481927,0.7630574372600233,0.25589198900866617,308964.5,6.083007082281081e-05,high_c,0.0008000075980939361,3.096905888264807,4.21588167789943
GO:0030490,maturation of SSU-rRNA,biological_process,111,6011,0.8258761602702702,0.7630574372600233,0.22185982592762254,400098.0,6.055287816083849e-05,high_c,0.0008000075980939361,3.096905888264807,4.217865209421617
GO:0170035,L-amino acid catabolic process,biological_process,33,6011,0.8622412821212121,0.7630574372600233,0.40372274095927496,138459.0,6.186931254796991e-05,high_c,0.0008075573427313967,3.0928266296809115,4.208524709554299
GO:0022884,macromolecule transmembrane transporter activity,molecular_function,35,6011,0.8703923342857143,0.7630574372600233,0.39026582520558417,145394.0,6.69155149378979e-05,high_c,0.0008319235593092436,3.0799165767084564,4.174473175644462
GO:0008320,transmembrane protein transporter activity,molecular_function,35,6011,0.8703923342857143,0.7630574372600233,0.39026582520558417,145394.0,6.69155149378979e-05,high_c,0.0008319235593092436,3.0799165767084564,4.174473175644462
GO:0006458,'de novo' protein folding,biological_process,16,6011,0.901302475625,0.7630574372600233,0.5775646371976648,75660.0,6.448932636047926e-05,high_c,0.0008319235593092436,3.0799165767084564,4.190512159571491
GO:0034515,proteasome storage granule,cellular_component,20,6011,0.8857021279999998,0.7630574372600233,0.5156401268569522,90802.0,6.689011292572268e-05,high_c,0.0008319235593092436,3.0799165767084564,4.1746380708588955
GO:0016769,"transferase activity, transferring nitrogenous groups",molecular_function,22,6011,0.8757098104545453,0.7630574372600233,0.4917500265638519,98275.0,6.683359756676788e-05,high_c,0.0008319235593092436,3.0799165767084564,4.175005160732603
GO:0016829,lyase activity,molecular_function,112,6011,0.820223518125,0.7630574372600233,0.21968009105659547,402914.0,6.642175693922788e-05,high_c,0.0008319235593092436,3.0799165767084564,4.177689640949015
GO:0098803,respiratory chain complex,cellular_component,39,6011,0.8654882202564104,0.7630574372600233,0.36977690762017623,159516.0,6.70906096217132e-05,high_c,0.0008319235593092436,3.0799165767084564,4.173338261870692
GO:0009132,nucleoside diphosphate metabolic process,biological_process,31,6011,0.8595976029032256,0.7630574372600233,0.4128384939044125,130956.0,7.168923657172576e-05,high_c,0.0008826419481455031,3.054215436264304,4.144546044449397
