GO_id,term,namespace,p_raw,p_fdr,neg_log10_fdr,neg_log10_raw,study_count,study_n,pop_count,pop_n,gene_ratio,fold_enrich,direction,group
GO:0010494,cytoplasmic stress granule,cellular_component,8.593663693899771e-08,1.2755224908630864e-05,4.894311879216781,7.065821646083976,29,601,101,6011,0.048252911813643926,2.871764880314987,enriched,High cross-weight c
GO:0070013,intracellular organelle lumen,cellular_component,3.6483938012728936e-07,4.6415676693971815e-05,4.333335313586934,6.437898290823516,57,601,291,6011,0.09484193011647254,1.9590888038835617,enriched,High cross-weight c
GO:0043233,organelle lumen,cellular_component,3.6483938012728936e-07,4.6415676693971815e-05,4.333335313586934,6.437898290823516,57,601,291,6011,0.09484193011647254,1.9590888038835617,enriched,High cross-weight c
GO:0031974,membrane-enclosed lumen,cellular_component,3.6483938012728936e-07,4.6415676693971815e-05,4.333335313586934,6.437898290823516,57,601,291,6011,0.09484193011647254,1.9590888038835617,enriched,High cross-weight c
GO:0043228,membraneless organelle,cellular_component,7.23523103076642e-07,8.284339530227551e-05,4.081742110034197,6.140547596710104,140,601,959,6011,0.23294509151414308,1.460096918760703,enriched,High cross-weight c
GO:0043232,intracellular membraneless organelle,cellular_component,7.23523103076642e-07,8.284339530227551e-05,4.081742110034197,6.140547596710104,140,601,959,6011,0.23294509151414308,1.460096918760703,enriched,High cross-weight c
GO:0036464,cytoplasmic ribonucleoprotein granule,cellular_component,1.6374988326408454e-06,0.00017978839922762156,3.745238334371247,5.785819000940955,33,601,138,6011,0.05490848585690516,2.39170223540476,enriched,High cross-weight c
GO:0035770,ribonucleoprotein granule,cellular_component,1.8295996875173773e-06,0.00019816542561421324,3.7029721156165247,5.737643922575712,33,601,139,6011,0.05490848585690516,2.3744957445025676,enriched,High cross-weight c
GO:0005759,mitochondrial matrix,cellular_component,5.380008782610964e-06,0.000539009629907836,3.2684034756695235,5.269217015367744,32,601,140,6011,0.05324459234608985,2.2860946042310433,enriched,High cross-weight c
GO:0009277,fungal-type cell wall,cellular_component,1.5647637920666572e-05,0.0014091664936420514,2.851037691774761,4.805551211820012,29,601,127,6011,0.048252911813643926,2.2838445111166426,enriched,High cross-weight c
