gene,cross_weight,iaa_mean_sens,iaa_breadth,c_group
YBR188C,0.700708,0.21559177,3.0,mid
YBR189W,0.922065,0.34961784,9.0,mid
YBR190W,0.34523484,0.49604177,14.0,low_c
YBR191W,0.88609356,0.3863179,6.0,mid
YBR191W-A,0.61170554,0.6234525,11.0,mid
YBR192W,0.670726,0.22224367,0.0,mid
YBR193C,0.9079092,0.29104427,0.0,mid
YBR194W,0.78152996,0.20140126,0.0,mid
YBR195C,0.59576076,0.24897665,0.0,mid
YBR196C,0.9667417,0.29104474,2.0,high_c
YBR196C-A,0.35125056,0.4880334,14.0,low_c
YBR196C-B,0.50243753,0.48180416,13.0,mid
YBR197C,0.48223418,0.23188156,0.0,mid
YBR198C,0.8156616,0.20445381,0.0,mid
YBR199W,0.92674595,0.19025442,0.0,mid
YBR200W,0.84417725,0.14985134,0.0,mid
YBR200W-A,0.62961376,0.15580039,6.0,mid
YBR201C-A,0.9106832,0.35172814,7.0,mid
YBR201W,0.5889058,0.27146515,4.0,mid
YBR202W,0.7183151,0.23344421,0.0,mid
YBR203W,0.7847838,0.61806303,30.0,mid
YBR204C,0.5870396,0.24930659,1.0,mid
YBR205W,0.7009153,0.18437046,0.0,mid
YBR206W,0.73774487,0.43397504,12.0,mid
YBR207W,0.86651707,0.5126261,16.0,mid
YBR208C,0.64410925,0.6376481,30.0,mid
YBR209W,0.5995841,0.42989552,4.0,mid
YBR210W,0.5897622,0.2698563,1.0,mid
YBR211C,0.62024516,0.18817273,0.0,mid
YBR212W,0.6243467,0.30275607,0.0,mid
YBR213W,0.6368962,0.28048977,3.0,mid
YBR214W,0.8688783,0.5107149,14.0,mid
YBR215W,0.76479286,0.24033779,0.0,mid
YBR216C,0.6582679,0.24596094,0.0,mid
YBR217W,0.82555425,0.23176484,0.0,mid
YBR218C,0.93388134,0.3968713,16.0,mid
YBR219C,0.83408856,0.3842222,8.0,mid
YBR220C,0.81293774,0.18359187,0.0,mid
YBR221C,0.8759299,0.28904906,5.0,mid
YBR221W-A,0.29360697,0.64450216,15.0,low_c
YBR222C,0.9167942,0.19853741,2.0,mid
YBR223C,0.8525703,0.25222734,0.0,mid
YBR223W-A,0.7742984,0.1886815,5.0,mid
YBR224W,0.38357043,0.34504002,5.0,mid
