gene,cross_weight,iaa_mean_sens,iaa_breadth,c_group
YBR266C,0.3880887,0.46552995,7.0,mid
YBR267W,0.65588766,0.41599056,11.0,mid
YBR268W,0.694872,0.33340216,0.0,mid
YBR269C,0.8239765,0.2710816,0.0,mid
YBR270C,0.8726461,0.24368514,0.0,mid
YBR271W,0.8721634,0.32398623,6.0,mid
YBR272C,0.8123862,0.23944429,0.0,mid
YBR273C,0.7676499,0.16015644,0.0,mid
YBR274W,0.83479536,0.20985882,0.0,mid
YBR275C,0.49381483,0.22372471,0.0,mid
YBR276C,0.66585594,0.20408943,0.0,mid
YBR277C,0.23547702,0.44124568,6.0,low_c
YBR278W,0.67124826,0.16303189,0.0,mid
YBR279W,0.83211344,0.1559599,0.0,mid
